,0
1472,178.5
1473,18.1
1474,27.1
1475,27.0
1476,-4.2
1477,-0.3
1478,5.0
1479,13.6
1480,19.1
1481,22.5
1482,25.9
1483,26.5
1484,22.5
1485,16.5
1486,7.0
1487,-0.6
1488,-0.8
1489,3.7
1490,9.6
1491,19.2
1492,24.7
1493,27.1
1494,29.9
1495,30.8
1496,27.5
1497,21.0
1498,11.5
1499,3.4
1500,39.4
1501,45.7
1502,18.1
1503,12.3
1504,16.5
1505,157.4
1506,698.4
1507,252.0
1508,49.3
1509,68.2
1510,13.0
1511,15.7
1512,0.3
1513,2.9
1514,7.6
1515,13.6
1516,18.2
1517,22.2
1518,25.2
1519,24.2
1520,21.6
1521,12.8
1522,4.0
1523,1.7
1524,3.9
1525,7.1
1526,12.4
1527,18.6
1528,23.5
1529,27.3
1530,28.8
1531,27.5
1532,26.1
1533,17.7
1534,8.0
1535,5.3
1536,37.4
1537,2.4
1538,31.5
1539,155.1
1540,58.0
1541,61.4
1542,220.6
1543,688.0
1544,61.1
1545,45.0
1546,12.5
1547,15.0
1548,-2.6
1549,2.7
1550,6.5
1551,13.2
1552,19.6
1553,21.5
1554,23.8
1555,24.1
1556,20.9
1557,13.9
1558,9.5
1559,0.7
1560,1.1
1561,6.6
1562,10.6
1563,17.9
1564,25.0
1565,25.8
1566,27.7
1567,27.6
1568,24.9
1569,19.0
1570,13.5
1571,4.4
1572,14.1
1573,39.6
1574,26.8
1575,139.6
1576,106.0
1577,156.0
1578,469.8
1579,684.2
1580,258.2
1581,41.5
1582,69.3
1583,6.9
1584,-1.6
1585,2.3
1586,6.3
1587,13.1
1588,17.6
1589,23.2
1590,24.8
1591,26.1
1592,21.7
1593,15.2
1594,9.1
1595,1.9
1596,2.1
1597,6.9
1598,11.1
1599,18.3
1600,22.2
1601,27.7
1602,27.7
1603,30.2
1604,26.3
1605,20.8
1606,13.4
1607,5.8
1608,19.8
1609,54.6
1610,27.6
1611,74.1
1612,168.5
1613,138.1
1614,510.7
1615,193.3
1616,198.7
1617,6.5
1618,80.0
1619,27.2
1620,-2.5
1621,-1.9
1622,4.1
1623,13.2
1624,17.7
1625,22.7
1626,25.3
1627,25.1
1628,21.8
1629,14.7
1630,8.6
1631,-3.9
1632,1.5
1633,2.2
1634,8.8
1635,18.1
1636,22.9
1637,27.3
1638,28.8
1639,28.7
1640,25.7
1641,19.4
1642,12.9
1643,-0.1
1644,4.5
1645,17.2
1646,12.5
1647,94.7
1648,85.8
1649,168.5
1650,269.4
1651,285.0
1652,313.3
1653,52.6
1654,44.6
1655,10.3
1656,-0.2
1657,0.1
1658,5.2
1659,11.6
1660,18.4
1661,21.8
1662,23.1
1663,27.0
1664,21.1
1665,17.9
1666,8.4
1667,1.4
1668,3.4
1669,4.2
1670,9.9
1671,16.2
1672,23.4
1673,26.3
1674,26.0
1675,31.1
1676,25.7
1677,22.6
1678,12.4
1679,5.4
1680,34.3
1681,15.7
1682,14.0
1683,51.8
1684,156.2
1685,168.5
1686,1014.0
1687,121.2
1688,11.1
1689,30.2
1690,47.6
1691,17.3
1692,0.4
1693,4.0
1694,6.1
1695,11.4
1696,18.1
1697,23.2
1698,24.2
1699,26.5
1700,21.5
1701,15.1
1702,6.7
1703,1.8
1704,4.1
1705,8.7
1706,10.3
1707,16.1
1708,23.4
1709,27.7
1710,27.8
1711,29.9
1712,25.1
1713,19.6
1714,11.4
1715,5.4
1716,10.8
1717,12.6
1718,123.5
1719,41.1
1720,137.6
1721,54.5
1722,274.1
1723,237.6
1724,241.9
1725,39.5
1726,26.4
1727,12.7
1728,-1.7
1729,-1.2
1730,7.3
1731,14.1
1732,17.7
1733,21.5
1734,25.1
1735,25.3
1736,22.0
1737,16.1
1738,7.6
1739,1.1
1740,1.9
1741,3.2
1742,11.9
1743,19.5
1744,22.7
1745,26.1
1746,28.4
1747,29.5
1748,26.9
1749,21.0
1750,11.7
1751,5.0
1752,17.7
1753,15.0
1754,53.9
1755,38.5
1756,97.7
1757,165.0
1758,530.8
1759,251.2
1760,99.2
1761,41.8
1762,19.6
1763,25.9
1764,-2.0
1765,2.9
1766,6.0
1767,12.7
1768,19.1
1769,22.4
1770,24.3
1771,25.7
1772,21.8
1773,16.0
1774,6.9
1775,-1.0
1776,2.3
1777,6.8
1778,10.6
1779,18.0
1780,24.3
1781,26.7
1782,28.2
1783,29.5
1784,26.3
1785,20.9
1786,10.4
1787,2.5
1788,5.7
1789,36.9
1790,63.9
1791,66.5
1792,109.0
1793,132.0
1794,659.4
1795,285.3
1796,64.5
1797,66.9
1798,52.4
1799,21.5
1800,-4.5
1801,1.4
1802,4.3
1803,9.5
1804,17.2
1805,23.4
1806,25.8
1807,26.5
1808,21.8
1809,14.5
1810,6.5
1811,-1.3
1812,-0.7
1813,4.9
1814,8.1
1815,14.0
1816,22.0
1817,28.2
1818,29.3
1819,30.0
1820,26.0
1821,19.3
1822,11.3
1823,3.1
1824,29.3
1825,55.3
1826,82.5
1827,62.8
1828,124.0
1829,127.6
1830,239.2
1831,598.7
1832,671.5
1833,25.6
1834,10.9
1835,16.1
1836,-7.2
1837,1.2
1838,3.6
1839,10.7
1840,17.9
1841,22.0
1842,24.6
1843,25.8
1844,21.8
1845,14.2
1846,10.7
1847,-0.9
1848,-3.4
1849,5.9
1850,8.3
1851,15.6
1852,23.0
1853,26.6
1854,28.0
1855,29.5
1856,26.6
1857,19.3
1858,14.7
1859,2.9
1860,8.9
1861,29.1
1862,14.6
1863,110.1
1864,53.4
1865,404.5
1866,1131.0
1867,166.8
1868,25.6
1869,32.0
1870,56.2
1871,7.1
1872,-2.8
1873,-2.0
1874,5.1
1875,12.3
1876,19.7
1877,24.1
1878,25.4
1879,27.1
1880,21.0
1881,15.3
1882,5.5
1883,-4.1
1884,1.3
1885,3.0
1886,9.5
1887,17.9
1888,25.1
1889,29.7
1890,29.0
1891,30.9
1892,25.0
1893,20.5
1894,9.5
1895,-0.5
1896,6.7
1897,0.8
1898,47.4
1899,157.0
1900,8.2
1901,91.9
1902,448.9
1903,464.9
1904,212.0
1905,99.3
1906,67.8
1907,41.4
1908,-3.4
1909,-1.2
1910,5.1
1911,10.0
1912,18.2
1913,24.4
1914,25.5
1915,27.7
1916,21.8
1917,15.8
1918,6.2
1919,-0.2
1920,0.3
1921,2.8
1922,10.8
1923,15.0
1924,23.6
1925,29.2
1926,28.3
1927,31.1
1928,25.9
1929,21.2
1930,10.7
1931,3.5
1932,22.1
1933,74.1
1934,27.3
1935,71.7
1936,132.0
1937,28.3
1938,676.2
1939,148.6
1940,138.5
1941,13.5
1942,46.9
1943,24.7
1944,-0.7
1945,1.9
1946,7.9
1947,14.0
1948,18.9
1949,23.1
1950,26.1
1951,25.2
1952,22.1
1953,15.6
1954,9.0
1955,-2.9
1956,3.5
1957,6.6
1958,13.1
1959,19.6
1960,25.3
1961,27.8
1962,30.6
1963,29.0
1964,27.0
1965,21.4
1966,13.8
1967,1.5
1968,13.0
1969,16.2
1970,7.2
1971,31.0
1972,63.0
1973,98.1
1974,207.9
1975,172.8
1976,88.1
1977,52.2
1978,41.5
1979,17.9
1980,-0.9
1981,1.0
1982,6.3
1983,13.3
1984,18.9
1985,23.6
1986,25.8
1987,26.3
1988,22.4
1989,15.5
1990,8.9
1991,1.6
1992,3.6
1993,6.0
1994,12.4
1995,18.8
1996,24.9
1997,29.5
1998,30.0
1999,30.8
2000,28.1
2001,21.2
2002,12.7
2003,6.0
2004,11.3
2005,22.7
2006,9.6
2007,80.5
2008,28.9
2009,99.0
2010,226.0
2011,72.9
2012,26.0
2013,81.5
2014,104.6
2015,29.1
2016,-3.2
2017,0.2
2018,7.0
2019,14.1
2020,19.6
2021,23.6
2022,26.2
2023,28.0
2024,23.1
2025,16.1
2026,6.8
2027,1.2
2028,1.1
2029,5.1
2030,12.6
2031,20.3
2032,25.7
2033,28.7
2034,29.8
2035,32.6
2036,27.9
2037,21.3
2038,11.6
2039,5.8
2040,1.0
2041,47.6
2042,40.5
2043,76.8
2044,160.5
2045,54.4
2046,358.2
2047,67.1
2048,33.0
2049,74.8
2050,16.7
2051,61.1
2052,-1.8
2053,-0.2
2054,6.3
2055,13.9
2056,19.5
2057,23.3
2058,26.9
2059,25.9
2060,22.1
2061,16.4
2062,5.6
2063,-1.9
2064,2.9
2065,4.8
2066,12.3
2067,20.0
2068,25.4
2069,28.8
2070,30.4
2071,29.7
2072,27.4
2073,22.2
2074,10.5
2075,2.2
2076,14.9
2077,11.1
2078,7.9
2079,61.6
2080,16.1
2081,66.6
2082,621.0
2083,297.0
2084,35.0
2085,26.5
2086,40.7
2087,34.8
2088,-4.0
2089,-1.6
2090,8.1
2091,13.0
2092,18.2
2093,23.1
2094,27.8
2095,28.8
2096,21.5
2097,13.1
2098,7.8
2099,-0.6
2100,0.1
2101,3.3
2102,13.6
2103,18.5
2104,23.3
2105,28.4
2106,32.1
2107,33.3
2108,26.0
2109,18.6
2110,13.2
2111,4.1
2112,8.5
2113,29.6
2114,49.5
2115,130.3
2116,222.0
2117,171.5
2118,185.6
2119,202.6
2120,68.5
